"","date","daily_vaccines"
"112","2023-12-03","[[0.004897],[0.003799],[0.002446],[0.003459],[0.006663]]"
"113","2023-12-04","[[0.004824],[0.003752],[0.002444],[0.003341],[0.006516]]"
"114","2023-12-05","[[0.00475],[0.003705],[0.002442],[0.003224],[0.006368]]"
"115","2023-12-06","[[0.004675],[0.003658],[0.00244],[0.003109],[0.006219]]"
"116","2023-12-07","[[0.004598],[0.003609],[0.002436],[0.002996],[0.006068]]"
"117","2023-12-08","[[0.004521],[0.00356],[0.002431],[0.002884],[0.005918]]"
"118","2023-12-09","[[0.004443],[0.003511],[0.002426],[0.002775],[0.005767]]"
"119","2023-12-10","[[0.004365],[0.00346],[0.00242],[0.002668],[0.005616]]"
"120","2023-12-11","[[0.004286],[0.00341],[0.002414],[0.002563],[0.005465]]"
"121","2023-12-12","[[0.004206],[0.003359],[0.002406],[0.002461],[0.005315]]"
"122","2023-12-13","[[0.004127],[0.003308],[0.002398],[0.002361],[0.005166]]"
"123","2023-12-14","[[0.004047],[0.003256],[0.002389],[0.002264],[0.005018]]"
"124","2023-12-15","[[0.003967],[0.003205],[0.00238],[0.00217],[0.004872]]"
"125","2023-12-16","[[0.003887],[0.003153],[0.002369],[0.002079],[0.004727]]"
"126","2023-12-17","[[0.003808],[0.003101],[0.002358],[0.00199],[0.004584]]"
"127","2023-12-18","[[0.003728],[0.003049],[0.002347],[0.001904],[0.004443]]"
"128","2023-12-19","[[0.003649],[0.002997],[0.002334],[0.001821],[0.004304]]"
"129","2023-12-20","[[0.00357],[0.002945],[0.002321],[0.001741],[0.004168]]"
"130","2023-12-21","[[0.003492],[0.002893],[0.002308],[0.001664],[0.004033]]"
"131","2023-12-22","[[0.003414],[0.002841],[0.002294],[0.001589],[0.003902]]"
"132","2023-12-23","[[0.003337],[0.00279],[0.002279],[0.001517],[0.003772]]"
"133","2023-12-24","[[0.00326],[0.002738],[0.002263],[0.001448],[0.003646]]"
"134","2023-12-25","[[0.003184],[0.002687],[0.002248],[0.001381],[0.003522]]"
"135","2023-12-26","[[0.003109],[0.002636],[0.002231],[0.001317],[0.003401]]"
"136","2023-12-27","[[0.003035],[0.002586],[0.002214],[0.001256],[0.003283]]"
"137","2023-12-28","[[0.002962],[0.002535],[0.002197],[0.001197],[0.003168]]"
"138","2023-12-29","[[0.002889],[0.002485],[0.002179],[0.00114],[0.003056]]"
"139","2023-12-30","[[0.002818],[0.002436],[0.00216],[0.001086],[0.002947]]"
"140","2023-12-31","[[0.002747],[0.002387],[0.002141],[0.001034],[0.00284]]"
"141","2024-01-01","[[0.002678],[0.002338],[0.002122],[0.000985],[0.002737]]"
"142","2024-01-02","[[0.00261],[0.00229],[0.002102],[0.000937],[0.002636]]"
"143","2024-01-03","[[0.002542],[0.002242],[0.002082],[0.000892],[0.002539]]"
"144","2024-01-04","[[0.002476],[0.002195],[0.002061],[0.000848],[0.002444]]"
"145","2024-01-05","[[0.002411],[0.002149],[0.00204],[0.000807],[0.002352]]"
"146","2024-01-06","[[0.002347],[0.002103],[0.002019],[0.000767],[0.002263]]"
"147","2024-01-07","[[0.002284],[0.002057],[0.001998],[0.000729],[0.002177]]"
"148","2024-01-08","[[0.002223],[0.002012],[0.001976],[0.000693],[0.002093]]"
"149","2024-01-09","[[0.002162],[0.001968],[0.001954],[0.000659],[0.002013]]"
"150","2024-01-10","[[0.002103],[0.001924],[0.001932],[0.000626],[0.001935]]"
"151","2024-01-11","[[0.002045],[0.001881],[0.001909],[0.000595],[0.001859]]"
"152","2024-01-12","[[0.001988],[0.001839],[0.001886],[0.000565],[0.001786]]"
"153","2024-01-13","[[0.001932],[0.001797],[0.001863],[0.000537],[0.001716]]"
"154","2024-01-14","[[0.001878],[0.001756],[0.00184],[0.00051],[0.001648]]"
"155","2024-01-15","[[0.001825],[0.001715],[0.001817],[0.000484],[0.001582]]"
"156","2024-01-16","[[0.001773],[0.001675],[0.001794],[0.00046],[0.001519]]"
"157","2024-01-17","[[0.001722],[0.001636],[0.00177],[0.000436],[0.001458]]"
"158","2024-01-18","[[0.001672],[0.001598],[0.001747],[0.000414],[0.001399]]"
"159","2024-01-19","[[0.001624],[0.00156],[0.001723],[0.000393],[0.001343]]"
"160","2024-01-20","[[0.001576],[0.001522],[0.001699],[0.000373],[0.001288]]"
"161","2024-01-21","[[0.00153],[0.001486],[0.001675],[0.000354],[0.001236]]"
"162","2024-01-22","[[0.001485],[0.00145],[0.001652],[0.000336],[0.001185]]"
"163","2024-01-23","[[0.001441],[0.001415],[0.001628],[0.000319],[0.001137]]"
"164","2024-01-24","[[0.001398],[0.00138],[0.001604],[0.000302],[0.00109]]"
